Instance,Variant,Norm%,Score,Wait,Time(s),Gens
C101,static_mutation,97.81,313.0,29.97,3.056,44.7
C101,adaptive_lite_2tier,98.12,314.0,33.34,2.824,41.4
C201,static_mutation,89.77,781.0,22.22,6.779,49.0
C201,adaptive_lite_2tier,91.26,794.0,24.38,8.359,50.2
R101,static_mutation,90.76,179.7,24.16,2.871,51.0
R101,adaptive_lite_2tier,92.68,183.5,14.7,3.485,60.2
R201,static_mutation,80.48,641.4,71.08,15.135,108.6
R201,adaptive_lite_2tier,82.13,654.6,92.45,14.611,103.3
RC101,static_mutation,100.0,219.0,17.64,1.601,25.3
RC101,adaptive_lite_2tier,100.0,219.0,17.64,1.91,25.6
RC201,static_mutation,90.59,720.2,43.67,9.249,71.6
RC201,adaptive_lite_2tier,91.46,727.1,21.46,10.846,81.9
