Variant,Generation,Norm_Best_Mean,Norm_Best_Std,N_Runs
no_smart_repair,59,99.0844,0.5321,7
no_smart_repair,60,98.9946,0.4138,6
no_smart_repair,61,98.9946,0.4138,6
no_smart_repair,62,98.9946,0.4138,6
no_smart_repair,63,98.9946,0.4138,6
no_smart_repair,64,98.9946,0.4138,6
no_smart_repair,65,98.9946,0.4138,6
no_smart_repair,66,98.9946,0.4138,6
no_smart_repair,67,98.9946,0.4138,6
no_smart_repair,68,98.9946,0.4138,6
no_smart_repair,69,98.9004,0.4286,4
no_smart_repair,70,98.9004,0.4286,4
no_smart_repair,71,98.9004,0.4286,4
no_smart_repair,72,98.9004,0.4286,4
no_smart_repair,73,98.9004,0.4286,4
no_smart_repair,74,98.9004,0.4286,4
no_smart_repair,75,99.037,0.4045,3
no_smart_repair,76,99.037,0.4045,3
no_smart_repair,77,99.037,0.4045,3
no_smart_repair,78,99.037,0.4045,3
no_smart_repair,79,99.037,0.4045,3
no_smart_repair,80,99.037,0.4045,3
no_smart_repair,81,98.8065,0.091,2
no_smart_repair,82,98.8065,0.091,2
no_smart_repair,83,98.8065,0.091,2
no_smart_repair,84,98.8065,0.091,2
no_smart_repair,85,98.8708,,1
no_local_search,1,85.6741,8.9009,30
no_local_search,2,86.9851,8.009,30
no_local_search,3,87.6897,7.5055,30
no_local_search,4,88.9807,7.6962,30
no_local_search,5,89.8472,7.7815,30
no_local_search,6,89.9239,7.8142,30
no_local_search,7,90.1206,7.7535,30
no_local_search,8,90.1206,7.7535,30
no_local_search,9,90.306,7.7688,30
no_local_search,10,90.3394,7.7739,30
no_local_search,11,90.352,7.7708,30
no_local_search,12,90.4694,7.7141,30
no_local_search,13,90.5097,7.7257,30
no_local_search,14,90.5097,7.7257,30
no_local_search,15,90.9361,7.7515,30
no_local_search,16,90.9744,7.7713,30
no_local_search,17,90.9953,7.7548,30
no_local_search,18,90.9953,7.7548,30
no_local_search,19,91.1396,7.833,30
no_local_search,20,91.1396,7.833,30
no_local_search,21,91.2047,7.883,30
no_local_search,22,91.2047,7.883,30
no_local_search,23,91.2047,7.883,30
no_local_search,24,91.3196,7.933,30
no_local_search,25,91.3196,7.933,30
no_local_search,26,91.3196,7.933,30
no_local_search,27,90.8138,7.9639,28
no_local_search,28,91.9384,7.2024,26
no_local_search,29,92.7415,6.5207,25
no_local_search,30,93.7133,4.4557,20
no_local_search,31,93.4022,4.2961,19
no_local_search,32,93.5153,4.3895,18
no_local_search,33,93.5153,4.3895,18
no_local_search,34,93.5153,4.3895,18
no_local_search,35,93.4719,4.5206,17
no_local_search,36,93.5014,4.5057,17
no_local_search,37,93.5014,4.5057,17
no_local_search,38,93.8107,4.4632,16
no_local_search,39,94.0422,4.5194,15
no_local_search,40,94.1512,4.4355,15
no_local_search,41,94.3931,3.6692,13
no_local_search,42,94.3194,3.8195,12
no_local_search,43,94.3194,3.8195,12
no_local_search,44,94.6749,3.7366,12
no_local_search,45,93.9845,3.3701,10
no_local_search,46,94.1476,3.1525,10
no_local_search,47,93.6775,2.8765,9
no_local_search,48,93.9005,3.031,9
no_local_search,49,93.9005,3.031,9
no_local_search,50,93.5377,3.0241,8
no_local_search,51,93.5377,3.0241,8
no_local_search,52,93.6161,3.0964,8
no_local_search,53,93.7419,2.9176,8
no_local_search,54,93.3405,2.9029,7
no_local_search,55,93.8655,3.057,6
no_local_search,56,93.5172,3.1019,5
no_local_search,57,93.5172,3.1019,5
no_local_search,58,93.5172,3.1019,5
no_local_search,59,93.5172,3.1019,5
no_local_search,60,93.5172,3.1019,5
no_local_search,61,93.5172,3.1019,5
no_local_search,62,93.5172,3.1019,5
no_local_search,63,93.5172,3.1019,5
no_local_search,64,93.6427,2.9834,5
no_local_search,65,93.6427,2.9834,5
no_local_search,66,93.6427,2.9834,5
no_local_search,67,93.6427,2.9834,5
no_local_search,68,93.6427,2.9834,5
no_local_search,69,93.6427,2.9834,5
no_local_search,70,93.6427,2.9834,5
no_local_search,71,93.6427,2.9834,5
no_local_search,72,93.6427,2.9834,5
no_local_search,73,93.6427,2.9834,5
no_local_search,74,92.9003,2.8623,4
no_local_search,75,92.9003,2.8623,4
no_local_search,76,92.9003,2.8623,4
no_local_search,77,92.9003,2.8623,4
no_local_search,78,93.2767,2.7291,4
no_local_search,79,94.2221,2.41,3
no_local_search,80,94.2221,2.41,3
no_local_search,81,92.8389,0.3681,2
no_local_search,82,93.0991,,1
no_local_search,83,93.0991,,1
no_local_search,84,93.0991,,1
no_local_search,85,93.0991,,1
no_local_search,86,93.0991,,1
no_local_search,87,93.0991,,1
no_local_search,88,93.0991,,1
no_local_search,89,93.0991,,1
no_local_search,90,93.0991,,1
no_local_search,91,93.0991,,1
no_local_search,92,93.0991,,1
no_local_search,93,93.0991,,1
no_local_search,94,93.0991,,1
no_local_search,95,93.0991,,1
no_local_search,96,93.0991,,1
no_local_search,97,93.0991,,1
no_local_search,98,93.0991,,1
no_local_search,99,93.0991,,1
no_local_search,100,93.0991,,1
no_local_search,101,93.0991,,1
no_local_search,102,93.0991,,1
no_local_search,103,93.0991,,1
