Variant,Avg_Norm%,Std_Norm,Avg_Wait,Avg_POIs,Avg_Time(s),Conv_95%_Gen,Norm_C101
with_urgency,96.88,0.0,29.3,10.0,2.297,3.0,96.88
no_urgency,100.0,0.0,45.6,10.0,2.868,7.0,100.0
