Instance,Variant,BKS,Best_Score,Avg_Score,Std_Score,Norm%,Avg_POIs,Avg_Wait,Avg_Time(s),Avg_Gens,Conv_95%_Gen
C101,with_urgency,320,310.0,310.0,,96.88,10.0,29.3,2.297,34.0,3.0
C101,no_urgency,320,320.0,320.0,,100.0,10.0,45.6,2.868,46.0,7.0
