Instance,Variant,Norm%,Score,Wait,Time(s),Gens
C101,static_mutation,100.0,320.0,29.32,10.674,26.0
C101,adaptive_lite_2tier,100.0,320.0,32.58,10.874,26.0
C201,static_mutation,100.0,870.0,5.46,48.41,32.4
C201,adaptive_lite_2tier,100.0,870.0,6.67,57.945,33.0
R101,static_mutation,100.0,198.0,0.2,7.212,26.8
R101,adaptive_lite_2tier,100.0,198.0,0.2,6.786,27.0
R201,static_mutation,99.57,793.6,9.32,111.625,62.8
R201,adaptive_lite_2tier,99.75,795.0,7.86,125.343,73.2
RC101,static_mutation,100.0,219.0,10.82,7.01,26.0
RC101,adaptive_lite_2tier,100.0,219.0,10.82,6.778,26.0
RC201,static_mutation,100.0,795.0,3.92,103.456,58.8
RC201,adaptive_lite_2tier,99.85,793.8,3.92,85.91,60.4
