Parameter,Value,Norm_Score%,Norm_Std,Time(s),Gens_Avg,Rows,Norm_C101,Norm_C201,Norm_R101,Norm_R201,Norm_RC101,Norm_RC201
mutation_rate,0.3,99.9,0.28,25.093,37.3,30,100.0,100.0,100.0,99.65,100.0,99.75
mutation_rate,0.5,99.93,0.16,25.737,37.9,30,100.0,100.0,100.0,99.6,100.0,100.0
mutation_rate,0.7,99.89,0.23,27.505,39.1,30,100.0,100.0,100.0,99.5,100.0,99.85
mutation_rate,0.9,99.92,0.19,28.862,39.7,30,100.0,100.0,100.0,99.5,100.0,100.0
population_size,100,99.9,0.28,30.919,37.3,30,100.0,100.0,100.0,99.65,100.0,99.75
population_size,150,99.93,0.19,36.803,35.53,30,100.0,100.0,100.0,99.57,100.0,100.0
population_size,200,99.92,0.19,46.117,35.13,30,100.0,100.0,100.0,99.52,100.0,100.0
population_size,50,99.84,0.33,16.786,39.23,30,100.0,100.0,100.0,99.5,100.0,99.55
stagnation_limit,15,99.84,0.32,16.416,24.57,30,100.0,100.0,100.0,99.45,100.0,99.6
stagnation_limit,25,99.9,0.28,24.511,37.3,30,100.0,100.0,100.0,99.65,100.0,99.75
stagnation_limit,40,99.9,0.28,33.449,53.2,30,100.0,100.0,100.0,99.67,100.0,99.75
stagnation_limit,60,99.92,0.23,47.24,76.53,30,100.0,100.0,100.0,99.72,100.0,99.8
tournament_k,2,99.91,0.22,24.189,37.27,30,100.0,100.0,100.0,99.45,100.0,100.0
tournament_k,3,99.9,0.28,24.541,37.3,30,100.0,100.0,100.0,99.65,100.0,99.75
tournament_k,5,99.92,0.18,24.287,36.73,30,100.0,100.0,100.0,99.55,100.0,100.0
tournament_k,7,99.87,0.28,22.324,34.47,30,100.0,100.0,100.0,99.42,100.0,99.8
