Variant,Norm_Score%,Norm_Std,Wait_Avg,Time(s),Gens_Avg,Rows,Diff%_vs_static
adaptive_lite_2tier,99.89,0.23,11.76,31.144,39.1,30,0.04
static_mutation,99.85,0.3,10.92,31.684,37.63,30,0.0
