Param,Value,Norm_Score%,Norm_Std,Time(s),Gens,Norm_C101,Norm_C201,Norm_R101,Norm_R201,Norm_RC101,Norm_RC201
population_size,50.0,99.84,0.33,18.978,39.2,100.0,100.0,100.0,99.5,100.0,99.55
population_size,100.0,99.9,0.28,35.921,37.3,100.0,100.0,100.0,99.65,100.0,99.75
population_size,150.0,99.93,0.19,45.924,35.5,100.0,100.0,100.0,99.57,100.0,100.0
population_size,200.0,99.92,0.19,45.905,35.1,100.0,100.0,100.0,99.52,100.0,100.0
mutation_rate,0.3,99.9,0.28,24.683,37.3,100.0,100.0,100.0,99.65,100.0,99.75
mutation_rate,0.5,99.93,0.16,25.434,37.9,100.0,100.0,100.0,99.6,100.0,100.0
mutation_rate,0.7,99.89,0.23,27.059,39.1,100.0,100.0,100.0,99.5,100.0,99.85
mutation_rate,0.9,99.92,0.19,28.932,39.7,100.0,100.0,100.0,99.5,100.0,100.0
tournament_k,2.0,99.91,0.22,25.445,37.3,100.0,100.0,100.0,99.45,100.0,100.0
tournament_k,3.0,99.9,0.28,25.951,37.3,100.0,100.0,100.0,99.65,100.0,99.75
tournament_k,5.0,99.92,0.18,25.281,36.7,100.0,100.0,100.0,99.55,100.0,100.0
tournament_k,7.0,99.87,0.28,24.075,34.5,100.0,100.0,100.0,99.42,100.0,99.8
stagnation_limit,15.0,99.84,0.32,17.609,24.6,100.0,100.0,100.0,99.45,100.0,99.6
stagnation_limit,25.0,99.9,0.28,26.368,37.3,100.0,100.0,100.0,99.65,100.0,99.75
stagnation_limit,40.0,99.9,0.28,35.616,53.2,100.0,100.0,100.0,99.67,100.0,99.75
stagnation_limit,60.0,99.92,0.23,52.588,76.5,100.0,100.0,100.0,99.72,100.0,99.8
